id,city,type,squareMeters,Size of Apartment,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
0b0fc63731e73f200a49479eaa44f689,lodz,apartmentBuilding,25,Small,1,1,3,2023,51.7786,19.493,2.65,10,0.172,1.545,0.938,0.351,0.077,0.467,0.225,condominium,brick,,yes,yes,no,no,no,1499
caae555d506dfe9d973a69ae03d09c57,lodz,apartmentBuilding,25,Small,1,1,3,2023,51.7786,19.493,2.65,10,0.172,1.545,0.938,0.351,0.077,0.467,0.225,condominium,brick,,yes,yes,no,no,no,1499
805d9d538062a36ca8c38694f41749b4,lodz,apartmentBuilding,25,Small,1,1,3,2023,51.7786,19.493,2.65,10,0.172,1.545,0.938,0.351,0.077,0.467,0.225,condominium,brick,,yes,yes,no,no,no,1499
2dbaba685e2955b22ee30c8f5a5c8817,warszawa,apartmentBuilding,25,Small,1,6,29,2023,52.22748,20.95631,3.25,12,0.167,0.168,0.624,0.095,0.141,0.743,0.127,condominium,brick,,no,no,yes,no,no,2700
10e8e58d9b4e87de1196d399973c0417,warszawa,blockOfFlats,25,Small,1,2,5,2023,52.2888127,21.01927556,6.44,9,0.426,0.633,0.229,0.374,0.225,2.339,0.228,condominium,,premium,yes,yes,yes,no,no,2500
c4e29c7138b8ca354cf2f88907a32ed1,krakow,blockOfFlats,25,Small,1,3,5,2022,50.0452,19.99442,4.15,3,0.197,0.764,0.411,0.394,0.518,1.169,0.659,condominium,,,no,yes,yes,no,no,2000
19d73d7b3431bf9906573267c3bb32ea,krakow,blockOfFlats,25,Small,1,3,5,2022,50.04524,19.99663,4.3,7,0.349,0.885,0.253,0.395,0.499,1.075,0.588,condominium,,,no,yes,yes,no,no,2000
c96251f9a07cb6648144172975d6a412,krakow,apartmentBuilding,25,Small,1,10,10,2022,50.0994,19.9644,5.24,10,0.062,0.948,0.423,0.049,0.283,2.831,0.019,condominium,brick,,no,yes,yes,no,no,1799
61e9bfe223b3f31f6b278b9566cf8585,krakow,,25,Small,1,1,2,2022,50.06554,19.84381,6.85,1,0.964,3.387,1.774,2.482,0.312,3.728,2.18,condominium,,,yes,yes,no,yes,no,2300
1f7affe14cbee13f71326eaaf28a8a1b,krakow,blockOfFlats,25,Small,1,3,5,2022,50.0452,19.99442,4.15,3,0.197,0.764,0.411,0.394,0.518,1.169,0.659,condominium,,,no,yes,yes,no,no,2000
be986031fbd2b211bd0f746552da49fd,gdansk,blockOfFlats,25,Small,1,4,4,2022,54.3918,18.6068,5.64,21,0.381,0.629,0.146,0.244,0.134,1.439,0.198,condominium,,,no,no,yes,no,no,2477
804020ca1176e47e7d31ee4e8ea70ae4,gdansk,blockOfFlats,25,Small,1,3,4,2022,54.3918,18.6068,5.64,21,0.381,0.629,0.146,0.244,0.134,1.439,0.198,condominium,,,no,no,yes,no,no,2422
992d88fc0d5b0f35487a412ed3b3cf39,gdansk,blockOfFlats,25,Small,1,1,4,2022,54.3918,18.6068,5.64,21,0.381,0.629,0.146,0.244,0.134,1.439,0.198,condominium,,,no,no,yes,no,no,2348
396a900efa8416bb6c541975fffd81e0,gdansk,blockOfFlats,25,Small,1,4,4,2022,54.3918,18.6068,5.64,21,0.381,0.629,0.146,0.244,0.134,1.439,0.198,condominium,,,no,no,yes,no,no,2477
571540c7c362d8a20458cf3f62137157,lodz,apartmentBuilding,25,Small,2,,,2021,51.7355,19.4497,5.13,18,0.193,1.602,0.208,0.197,0.294,0.214,0.221,condominium,brick,,no,yes,no,yes,no,1600
ec925c75caeb7a9034d1498246cdbae7,warszawa,,25,Small,1,3,5,2021,52.24863,21.04714,3.51,15,0.079,0.812,0.2,0.594,0.228,0.31,0.338,condominium,,,no,no,yes,no,no,2400
491c4c3ac8e3ab6a04d6daafdfacb77e,bydgoszcz,apartmentBuilding,25,Small,1,2,5,2021,53.11562,17.98282,1.39,6,0.293,0.538,0.673,0.305,0.334,0.903,0.288,condominium,brick,,no,no,yes,no,no,1500
1caaac0fa8b060a6808568bd4b9b9997,krakow,apartmentBuilding,25,Small,2,1,3,2020,50.0971,19.9002,5.39,2,1.154,0.804,1.183,0.451,0.386,2.6,0.505,condominium,brick,,no,yes,yes,yes,no,2170
c22c57f9ca1ccf82784a077da0790c8f,szczecin,apartmentBuilding,25,Small,1,,,2019,53.406153,14.5364872,2.51,2,0.405,0.507,0.548,0.738,0.529,1.555,0.499,condominium,brick,premium,no,no,yes,no,no,1900
b15a33599555baff5a9120e89a5a2991,wroclaw,apartmentBuilding,25,Small,1,6,8,2019,51.1132,17.0072,1.6,33,0.16,0.286,0.339,0.264,0.339,0.165,0.153,condominium,brick,,no,yes,yes,no,no,2300
38bf98a3598927d9a6d21156a119b151,wroclaw,blockOfFlats,25,Small,1,9,9,2019,51.10423506,17.05125453,1.66,23,0.296,0.495,0.661,0.111,0.242,0.395,0.3,condominium,,,no,no,yes,no,no,2600
72fec238b2e2afb000f534ec2f025016,warszawa,apartmentBuilding,25,Small,1,1,6,2019,52.2477495,20.9940665,1.9,54,0.193,0.426,0.427,0.146,0.21,0.208,0.241,condominium,brick,,no,no,yes,no,no,3900
60991c3f4abf0f2fa97b596c01de0140,krakow,blockOfFlats,25,Small,1,6,6,2018,50.077711,20.02255958,6.5,21,0.18,1.674,0.399,0.274,0.377,0.813,0.197,condominium,,premium,yes,yes,yes,no,no,2100
6da6dd807d21d6fe79c073072b991fb7,warszawa,,25,Small,1,6,8,2018,52.3044224,20.9906199,8.13,10,0.665,1.518,0.133,0.225,0.156,2.322,0.218,condominium,,,no,no,yes,no,no,2500
a363da26ada25168df2518de65ee95fc,warszawa,apartmentBuilding,25,Small,1,1,8,2016,52.24441,20.90581,6.8,9,0.969,0.598,0.89,0.234,0.494,2.354,0.465,condominium,brick,,no,yes,yes,yes,no,2700
696f774a242db5b0abc57de55cece032,poznan,blockOfFlats,25,Small,1,,3,2011,52.3805,16.8796,4.87,0,0.542,1.499,0.896,0.712,0.654,1.976,0.679,condominium,brick,,no,no,no,no,no,1700
95b84b8037535c712efde3131c37053f,warszawa,apartmentBuilding,25,Small,1,11,11,2010,52.2012,20.9671,4.2,15,0.164,0.674,0.74,0.212,0.048,1.514,0.161,condominium,brick,,no,no,yes,no,no,2350
